Highlight,Title,Author,URL,Note,Location
"Simultaneous","Chacal Ensamble - free jazz improvisation - Pizza Jazz México","César Chew",https://youtube.com/watch?v=3lKY1pYZHAQ,"Potential Turn Type	= interrupting
Instrumentation / Role = Bass, tenor sax, baritone sax, drum set, upright bass, cello
Leader balance = none",""
"Pass new","Chacal Ensamble - free jazz improvisation - Pizza Jazz México","César Chew",https://youtube.com/watch?v=3lKY1pYZHAQ,"Potential Turn Type	= pass new
Instrumentation / Role = Bass
Leader balance = Bass
Notes:
bass starts new melodic pattern alone, faster and more rhythmic",""
"layer add","Chacal Ensamble - free jazz improvisation - Pizza Jazz México","César Chew",https://youtube.com/watch?v=3lKY1pYZHAQ,"Potential Turn Type	= layer add
Instrumentation / Role = cello, drums
Leader balance = none",""
"Layer add","Chacal Ensamble - free jazz improvisation - Pizza Jazz México","César Chew",https://youtube.com/watch?v=3lKY1pYZHAQ,"Potential Turn Type	= layer add
Instrumentation / Role = tenor sax
Leader balance = none",""
"Support","Chacal Ensamble - free jazz improvisation - Pizza Jazz México","César Chew",https://youtube.com/watch?v=3lKY1pYZHAQ,"Potential Turn Type	= Support
Instrumentation / Role = bari sax
Leader balance = none
Notes:
Bari sax adds interjections that support the tenor sax
",""
"Support","Chacal Ensamble - free jazz improvisation - Pizza Jazz México","César Chew",https://youtube.com/watch?v=3lKY1pYZHAQ,"Potential Turn Type	= support
Instrumentation / Role = bari sax
Leader balance = none
Notes:
bari sax adds interjections that support the tenor sax",""
"Support","Chacal Ensamble - free jazz improvisation - Pizza Jazz México","César Chew",https://youtube.com/watch?v=3lKY1pYZHAQ,"Potential Turn Type	= support
Instrumentation / Role = bari sax
Leader balance = none
Notes:
bari sax adds interjections that support the tenor sax",""
"Layer new","Chacal Ensamble - free jazz improvisation - Pizza Jazz México","César Chew",https://youtube.com/watch?v=3lKY1pYZHAQ,"Potential Turn Type	= layer new
Instrumentation / Role = tenor sax
Leader balance = tenor sax
Notes:
tenor sax starts a new theme, not aligned with rhythm sections backing",""
"Note","Chacal Ensamble - free jazz improvisation - Pizza Jazz México","César Chew",https://youtube.com/watch?v=3lKY1pYZHAQ,"Everyone lowers dynamics and decreases tempo and rhythmic complexity after bass comes out.
Leave tenor sax alone, but playing lower more sustained notes
",""
"Pass new","Chacal Ensamble - free jazz improvisation - Pizza Jazz México","César Chew",https://youtube.com/watch?v=3lKY1pYZHAQ,"Potential Turn Type	= pass new
Instrumentation / Role = bari sax
Leader balance = bari sax
Notes:
bari sax takes over soloing from a cue from tenor sax",""
"Support","Chacal Ensamble - free jazz improvisation - Pizza Jazz México","César Chew",https://youtube.com/watch?v=3lKY1pYZHAQ,"Potential Turn Type	= support
Instrumentation / Role = tenor sax
Leader balance = none",""
"Pass new","Chacal Ensamble - free jazz improvisation - Pizza Jazz México","César Chew",https://youtube.com/watch?v=3lKY1pYZHAQ,"Potential Turn Type	= pass new
Instrumentation / Role = tenor sax
Leader balance = tenor sax
Notes:
bari sax starts repeating tenor sax's melodies then stops playing to cue tenor to solo",""
"Layer add, interrupt","Chacal Ensamble - free jazz improvisation - Pizza Jazz México","César Chew",https://youtube.com/watch?v=3lKY1pYZHAQ,"Potential Turn Type	= layer add, interrupt
Instrumentation / Role = bari sax
Leader balance = none
Notes:
bari sax adds on top of tenor sax",""
"Pass new","Chacal Ensamble - free jazz improvisation - Pizza Jazz México","César Chew",https://youtube.com/watch?v=3lKY1pYZHAQ,"Potential Turn Type	= pass new
Instrumentation / Role = bari sax
Leader balance = bari sax
Notes:
drums, cello, bass slowed down and tenor sax dropped out to leave bari to solo",""
"layer add","Chacal Ensamble - free jazz improvisation - Pizza Jazz México","César Chew",https://youtube.com/watch?v=3lKY1pYZHAQ,"Potential Turn Type	= layer add
Instrumentation / Role = tenor sax
Leader balance = tenor sax",""
"Support","Chacal Ensamble - free jazz improvisation - Pizza Jazz México","César Chew",https://youtube.com/watch?v=3lKY1pYZHAQ,"Potential Turn Type	= support
Instrumentation / Role = bari sax
Leader balance = tenor sax
Notes:
bari sax adds interjections that support the tenor sax
bari sax plays repeated long sustained note",""
"Suport","Chacal Ensamble - free jazz improvisation - Pizza Jazz México","César Chew",https://youtube.com/watch?v=3lKY1pYZHAQ,"Potential Turn Type	= support
Instrumentation / Role = bari sax
Leader balance = tenor sax
Notes:
bari sax adds interjections that support the tenor sax
bari sax plays repeated long sustained note",""
"pass new","Chacal Ensamble - free jazz improvisation - Pizza Jazz México","César Chew",https://youtube.com/watch?v=3lKY1pYZHAQ,"Potential Turn Type	= pass new
Instrumentation / Role = bari sax, tenor sax
Leader balance = bari sax
Notes:
tenor sax repeats and joins bari sax interjections to slow the piece down",""
"Support","Chacal Ensamble - free jazz improvisation - Pizza Jazz México","César Chew",https://youtube.com/watch?v=3lKY1pYZHAQ,"Potential Turn Type	= support
Instrumentation / Role = bari sax
Leader balance = tenor sax
Notes:
bari sax adds interjections that support the tenor sax",""
"Pass new, simultaneous","Chacal Ensamble - free jazz improvisation - Pizza Jazz México","César Chew",https://youtube.com/watch?v=3lKY1pYZHAQ,"Potential Turn Type	= pass new
Instrumentation / Role = bass, cello
Leader balance = bass, cello
Notes:
slow down creates space for bass, tenor sax and bari sax drop out",""
"Layer new, interrupt, simultaneous","Chacal Ensamble - free jazz improvisation - Pizza Jazz México","César Chew",https://youtube.com/watch?v=3lKY1pYZHAQ,"Potential Turn Type	= Layer new, interrupt, simultaneous
Instrumentation / Role = bari sax, tenor sax
Leader balance = none
Gestures = tenor sax and bari sax breath together and rise up tall before playing
Notes:
bari sax and tenor sax come into together and interrupt",""
