Highlight,Title,Author,URL,Note,Location
"organist lifts finger and says something to melodica/trumpeter","Dr. Lonnie Smith jam (pt. 2)","Phil Curry",https://youtube.com/watch?v=WmMMQvgtB6U,"",""
"iso organist, starts again","Dr. Lonnie Smith jam (pt. 2)","Phil Curry",https://youtube.com/watch?v=WmMMQvgtB6U,"",""
"[pass new trumpet begins turn","Dr. Lonnie Smith jam (pt. 2)","Phil Curry",https://youtube.com/watch?v=WmMMQvgtB6U,"",""
"ungestured melodica start","Dr. Lonnie Smith jam (pt. 2)","Phil Curry",https://youtube.com/watch?v=WmMMQvgtB6U,"",""
"[ start trumpet riff","Dr. Lonnie Smith jam (pt. 2)","Phil Curry",https://youtube.com/watch?v=WmMMQvgtB6U,"melodica player head nodding",""
"] end trumpet, pass add melodica [","Dr. Lonnie Smith jam (pt. 2)","Phil Curry",https://youtube.com/watch?v=WmMMQvgtB6U,"",""
"] brief pause to say something to the audience","Dr. Lonnie Smith jam (pt. 2)","Phil Curry",https://youtube.com/watch?v=WmMMQvgtB6U,"",""
"[ resume melodica riff","Dr. Lonnie Smith jam (pt. 2)","Phil Curry",https://youtube.com/watch?v=WmMMQvgtB6U,"organist continues rhythmic chords
trumpeter sways back and forth
melodica player bends up and down",""
"] end riff melodica, [ solo returns to organist (iso)","Dr. Lonnie Smith jam (pt. 2)","Phil Curry",https://youtube.com/watch?v=WmMMQvgtB6U,"",""
"melodica player starts snapping","Dr. Lonnie Smith jam (pt. 2)","Phil Curry",https://youtube.com/watch?v=WmMMQvgtB6U,"",""
"pass add trumpet","Dr. Lonnie Smith jam (pt. 2)","Phil Curry",https://youtube.com/watch?v=WmMMQvgtB6U,"gesture was a the organist pointing",""
"layer add melodica","Dr. Lonnie Smith jam (pt. 2)","Phil Curry",https://youtube.com/watch?v=WmMMQvgtB6U,"",""
"end music","Dr. Lonnie Smith jam (pt. 2)","Phil Curry",https://youtube.com/watch?v=WmMMQvgtB6U,"",""
