Highlight,Title,Author,URL,Note,Location
"[ iso","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"double bass begins improvised solo after speaker talks about meaning of solos in blues",""
"support","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"piano adds small motif that supports the double bass solo",""
"support from percussionist","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"uncued",""
"] end of bass lead, rest of instrumentation","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"",""
"start of music again after break, pass add saxophone","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"double bass, piano, percussion, saxophone",""
"] pass add fiddle, saxophonist makes eye contact with fiddler right before","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"",""
"interrupt from pianist, fiddler stops playing","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"",""
"interrupt from bass","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"rest of instruments only playing on accents",""
"interrupt from guitar player","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"piano stops playing. only percussion and guitar.",""
"pass add drummer","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"",""
"pass add trumpet","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"everyone else joins in",""
"] end music","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"",""
"[ vocalized gesture to start music, fiddler leads","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"",""
"] end of musical phrase","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"various eye contact, smiles throughout but no official turn taking",""
"[ start of piano melodic introduction. solo","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"",""
"layer add guitar","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"",""
"pass new vocalist","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"",""
"pass add saxophone","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"eye contact from vocalist to saxophonist
",""
"pass add vocalist","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"eye contact continued",""
"pass add sax","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"eye contact continued",""
"pass add vocalist","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"eye contact continued",""
"pass add saxophonist extended","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"eye contact continued",""
"pass new fiddler, sax/fiddle back and forth","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"vocalist and saxophonist make eye contact with fiddler",""
"pass new vocalist, saxophonist and vocalist back and forth restarts","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"both fiddler and saxophonist look at vocalist",""
"] end music","Wynton at Harvard, Chapter 19: Jazz Improvisation as Democratic Discourse","Jazz at Lincoln Center",https://youtube.com/watch?v=2BYSLKi4tYA,"",""
